Location,full_place,lon,lat,candidate,votes,Rank
Town Hall,Town Hall; Oakville; Ontario; Canada,-79.68764906171216,43.46734365,Rob Burton,429,1.0
Walton Memorial Church,Walton Memorial Church; Oakville; Ontario; Canada,-79.713292,43.393497,Rob Burton,659,2.0
Eastview Public School,Eastview Public School; Oakville; Ontario; Canada,-79.70952465379693,43.401299550000005,Rob Burton,415,2.0
Queen Elizabeth Park Community and Cultural Centre,Queen Elizabeth Park Community and Cultural Centre; Oakville; Ontario; Canada,-79.666672,43.447436,Rob Burton,531,2.0
Hope Bible Church,Hope Bible Church; Oakville; Ontario; Canada,-79.7405867658494,43.38512905,Rob Burton,404,1.0
Palermo Public School,Palermo Public School; Oakville; Ontario; Canada,-79.77605365397905,43.4320547,Rob Burton,355,2.0
Sir John Colborne Centre for Seniors,Sir John Colborne Centre for Seniors; Oakville; Ontario; Canada,-79.697131,43.404914,Rob Burton,169,4.0
Trafalgar Park Community Centre,Trafalgar Park Community Centre; Oakville; Ontario; Canada,-79.666672,43.447436,Rob Burton,854,1.0
Brookdale Elementary School,Brookdale Elementary School; Oakville; Ontario; Canada,-79.704576,43.424315,Rob Burton,263,2.0
St. Ignatius of Loyola Catholic Sec. School,St. Ignatius of Loyola Catholic Sec. School; Oakville; Ontario; Canada,-79.666672,43.447436,Rob Burton,206,1.0
St. Matthew Catholic Elementary School,St. Matthew Catholic Elementary School; Oakville; Ontario; Canada,-79.71613595133883,43.440591600000005,Rob Burton,513,1.0
Thomas A. Blakelock High school,Thomas A. Blakelock High school; Oakville; Ontario; Canada,-79.69413424478265,43.41946255,Rob Burton,222,2.0
Oakville Public Library,Oakville Public Library; Oakville; Ontario; Canada,-79.67091551977612,43.4439675,Rob Burton,148,1.0
St. Vincent Catholic Elementary School,St. Vincent Catholic Elementary School; Oakville; Ontario; Canada,-79.65615704326345,43.465538,Rob Burton,108,2.0
Oakville Trafalgar High School,Oakville Trafalgar High School; Oakville; Ontario; Canada,-79.6535531581614,43.4720987,Rob Burton,573,2.0
St. Luke Elementary School,St. Luke Elementary School; Oakville; Ontario; Canada,-79.661794,43.496354,Rob Burton,415,1.0
Linbrook School,Linbrook School; Oakville; Ontario; Canada,-79.6685626372472,43.4649015,Rob Burton,129,2.0
ClearView Christian Reformed Church,ClearView Christian Reformed Church; Oakville; Ontario; Canada,-79.65497284163574,43.4915083,Rob Burton,243,1.0
Oakville Trafalgar Community Centre,Oakville Trafalgar Community Centre; Oakville; Ontario; Canada,-79.67374926570358,43.45346475,Rob Burton,538,1.0
