Location,Rob Burton,Julia Hanna,Jack Kukolic,full_place,lon,lat
Town Hall,429,402,54,Town Hall; Oakville; Ontario; Canada,-79.68764906171216,43.46734365
Walton Memorial Church,659,763,44,Walton Memorial Church; Oakville; Ontario; Canada,-79.713292,43.393497
Eastview Public School,415,507,39,Eastview Public School; Oakville; Ontario; Canada,-79.70952465379693,43.401299550000005
Queen Elizabeth Park Community and Cultural Centre,531,541,55,Queen Elizabeth Park Community and Cultural Centre; Oakville; Ontario; Canada,-79.666672,43.447436
Hope Bible Church,404,337,23,Hope Bible Church; Oakville; Ontario; Canada,-79.7405867658494,43.38512905
Palermo Public School,355,430,28,Palermo Public School; Oakville; Ontario; Canada,-79.77605365397905,43.4320547
Sir John Colborne Centre for Seniors,169,173,16,Sir John Colborne Centre for Seniors; Oakville; Ontario; Canada,-79.697131,43.404914
Trafalgar Park Community Centre,854,760,70,Trafalgar Park Community Centre; Oakville; Ontario; Canada,-79.666672,43.447436
Brookdale Elementary School,263,297,35,Brookdale Elementary School; Oakville; Ontario; Canada,-79.704576,43.424315
St. Ignatius of Loyola Catholic Sec. School,206,135,7,St. Ignatius of Loyola Catholic Sec. School; Oakville; Ontario; Canada,-79.666672,43.447436
St. Matthew Catholic Elementary School,513,317,32,St. Matthew Catholic Elementary School; Oakville; Ontario; Canada,-79.71613595133883,43.440591600000005
Thomas A. Blakelock High school,222,275,22,Thomas A. Blakelock High school; Oakville; Ontario; Canada,-79.69413424478265,43.41946255
Oakville Public Library,148,148,15,Oakville Public Library; Oakville; Ontario; Canada,-79.67091551977612,43.4439675
St. Vincent Catholic Elementary School,108,118,14,St. Vincent Catholic Elementary School; Oakville; Ontario; Canada,-79.65615704326345,43.465538
Oakville Trafalgar High School,573,604,36,Oakville Trafalgar High School; Oakville; Ontario; Canada,-79.6535531581614,43.4720987
St. Luke Elementary School,415,254,30,St. Luke Elementary School; Oakville; Ontario; Canada,-79.661794,43.496354
Linbrook School,129,183,7,Linbrook School; Oakville; Ontario; Canada,-79.6685626372472,43.4649015
ClearView Christian Reformed Church,243,191,10,ClearView Christian Reformed Church; Oakville; Ontario; Canada,-79.65497284163574,43.4915083
Oakville Trafalgar Community Centre,538,501,17,Oakville Trafalgar Community Centre; Oakville; Ontario; Canada,-79.67374926570358,43.45346475
St. Bernadette Elementary School,381,331,22,St. Bernadette Elementary School; Oakville; Ontario; Canada,-79.737916,43.429593
Glen Abbey Community Centre,818,620,52,Glen Abbey Community Centre; Oakville; Ontario; Canada,-79.666672,43.447436
West Oak Public School,391,399,31,West Oak Public School; Oakville; Ontario; Canada,-79.73538055559996,43.4486797
St. Joan of Arc Elementary School,298,260,20,St. Joan of Arc Elementary School; Oakville; Ontario; Canada,-79.666672,43.447436
Oakville Soccer Club - Pine Glen,479,496,41,Oakville Soccer Club - Pine Glen; Oakville; Ontario; Canada,-79.666672,43.447436
Garth Webb Secondary School,348,306,38,Garth Webb Secondary School; Oakville; Ontario; Canada,-79.75428329112489,43.43389645
White Oaks Secondary School,244,324,44,White Oaks Secondary School; Oakville; Ontario; Canada,-79.70220537159366,43.461924100000005
Sunningdale Public School,285,365,38,Sunningdale Public School; Oakville; Ontario; Canada,-79.71220403770484,43.45867605
Post's Corner Public School,297,282,42,Post's Corner Public School; Oakville; Ontario; Canada,-79.666672,43.447436
River Oaks Community Centre,744,828,75,River Oaks Community Centre; Oakville; Ontario; Canada,-79.72412598203375,43.4708108
Holy Trinity Catholic Secondary School,317,297,32,Holy Trinity Catholic Secondary School; Oakville; Ontario; Canada,-79.72517498857778,43.47278095
Holy Family Elementary School,545,505,42,Holy Family Elementary School; Oakville; Ontario; Canada,-79.687715,43.481911
Iroquois Ridge Community Centre,743,629,67,Iroquois Ridge Community Centre; Oakville; Ontario; Canada,-79.70120718704354,43.48810695
Mary Mother of God Parish,263,330,33,Mary Mother of God Parish; Oakville; Ontario; Canada,-79.712879,43.488969
Joshua Creek Public School,237,229,14,Joshua Creek Public School; Oakville; Ontario; Canada,-79.69758034210341,43.49926335
Sixteen Mile Sports Complex,331,353,28,Sixteen Mile Sports Complex; Oakville; Ontario; Canada,-79.74924639978457,43.46596305
St. Gregory the Great Elementary School,238,226,26,St. Gregory the Great Elementary School; Oakville; Ontario; Canada,-79.735624,43.477636
Dr David R Williams Public School,375,411,27,Dr David R Williams Public School; Oakville; Ontario; Canada,-79.73251248712117,43.48732805
Oakville Town Hall,2196,1894,126,Oakville Town Hall; Oakville; Ontario; Canada,-79.68764906171216,43.46734365
River Oaks Community Centre,606,539,29,River Oaks Community Centre; Oakville; Ontario; Canada,-79.72412598203375,43.4708108
Sir John Colborne Centre for Seniors,397,437,12,Sir John Colborne Centre for Seniors; Oakville; Ontario; Canada,-79.697131,43.404914
Glen Abbey Community Centre,861,594,34,Glen Abbey Community Centre; Oakville; Ontario; Canada,-79.666672,43.447436
Sixteen Mile Sports Complex,534,712,38,Sixteen Mile Sports Complex; Oakville; Ontario; Canada,-79.74924639978457,43.46596305
Oakville Trafalgar Community Centre,502,418,15,Oakville Trafalgar Community Centre; Oakville; Ontario; Canada,-79.67374926570358,43.45346475
Sheridan College,25,20,2,Sheridan College; Oakville; Ontario; Canada,-79.69921291680899,43.4695852
Queen Elizabeth Park Community and Cultural Centre,320,322,16,Queen Elizabeth Park Community and Cultural Centre; Oakville; Ontario; Canada,-79.666672,43.447436
