Location,full_place,lon,lat
Town Hall,Town Hall; Oakville; Ontario; Canada,-79.68764906171216,43.467343650000004
Walton Memorial Church,Walton Memorial Church; Oakville; Ontario; Canada,-79.713292,43.393497
Eastview Public School,Eastview Public School; Oakville; Ontario; Canada,-79.70952465379693,43.401299550000005
Queen Elizabeth Park Community and Cultural Centre,Queen Elizabeth Park Community and Cultural Centre; Oakville; Ontario; Canada,-79.666672,43.447436
Hope Bible Church,Hope Bible Church; Oakville; Ontario; Canada,-79.7405867658494,43.38512905
Palermo Public School,Palermo Public School; Oakville; Ontario; Canada,-79.77605365397905,43.4320547
Sir John Colborne Centre for Seniors,Sir John Colborne Centre for Seniors; Oakville; Ontario; Canada,-79.697131,43.404914
Trafalgar Park Community Centre,Trafalgar Park Community Centre; Oakville; Ontario; Canada,-79.666672,43.447436
Brookdale Elementary School,Brookdale Elementary School; Oakville; Ontario; Canada,-79.704576,43.424315
St. Ignatius of Loyola Catholic Sec. School,St. Ignatius of Loyola Catholic Sec. School; Oakville; Ontario; Canada,-79.666672,43.447436
St. Matthew Catholic Elementary School,St. Matthew Catholic Elementary School; Oakville; Ontario; Canada,-79.71613595133883,43.440591600000005
Thomas A. Blakelock High school,Thomas A. Blakelock High school; Oakville; Ontario; Canada,-79.69413424478265,43.41946255
Oakville Public Library,Oakville Public Library; Oakville; Ontario; Canada,-79.67091551977612,43.4439675
St. Vincent Catholic Elementary School,St. Vincent Catholic Elementary School; Oakville; Ontario; Canada,-79.65615704326345,43.465538
Oakville Trafalgar High School,Oakville Trafalgar High School; Oakville; Ontario; Canada,-79.6535531581614,43.472098700000004
St. Luke Elementary School,St. Luke Elementary School; Oakville; Ontario; Canada,-79.661794,43.496354
Linbrook School,Linbrook School; Oakville; Ontario; Canada,-79.6685626372472,43.464901499999996
ClearView Christian Reformed Church,ClearView Christian Reformed Church; Oakville; Ontario; Canada,-79.65497284163574,43.4915083
Oakville Trafalgar Community Centre,Oakville Trafalgar Community Centre; Oakville; Ontario; Canada,-79.67374926570358,43.453464749999995
St. Bernadette Elementary School,St. Bernadette Elementary School; Oakville; Ontario; Canada,-79.737916,43.429593
Glen Abbey Community Centre,Glen Abbey Community Centre; Oakville; Ontario; Canada,-79.666672,43.447436
West Oak Public School,West Oak Public School; Oakville; Ontario; Canada,-79.73538055559996,43.4486797
St. Joan of Arc Elementary School,St. Joan of Arc Elementary School; Oakville; Ontario; Canada,-79.666672,43.447436
Oakville Soccer Club - Pine Glen,Oakville Soccer Club - Pine Glen; Oakville; Ontario; Canada,-79.666672,43.447436
Garth Webb Secondary School,Garth Webb Secondary School; Oakville; Ontario; Canada,-79.75428329112489,43.43389645
White Oaks Secondary School,White Oaks Secondary School; Oakville; Ontario; Canada,-79.70220537159366,43.461924100000005
Sunningdale Public School,Sunningdale Public School; Oakville; Ontario; Canada,-79.71220403770484,43.45867605
Post's Corner Public School,Post's Corner Public School; Oakville; Ontario; Canada,-79.666672,43.447436
River Oaks Community Centre,River Oaks Community Centre; Oakville; Ontario; Canada,-79.72412598203375,43.470810799999995
Holy Trinity Catholic Secondary School,Holy Trinity Catholic Secondary School; Oakville; Ontario; Canada,-79.72517498857778,43.47278095
Holy Family Elementary School,Holy Family Elementary School; Oakville; Ontario; Canada,-79.687715,43.481911
Iroquois Ridge Community Centre,Iroquois Ridge Community Centre; Oakville; Ontario; Canada,-79.70120718704354,43.48810695
Mary Mother of God Parish,Mary Mother of God Parish; Oakville; Ontario; Canada,-79.712879,43.488969
Joshua Creek Public School,Joshua Creek Public School; Oakville; Ontario; Canada,-79.69758034210341,43.49926335
Sixteen Mile Sports Complex,Sixteen Mile Sports Complex; Oakville; Ontario; Canada,-79.74924639978457,43.46596305
St. Gregory the Great Elementary School,St. Gregory the Great Elementary School; Oakville; Ontario; Canada,-79.735624,43.477636
Dr David R Williams Public School,Dr David R Williams Public School; Oakville; Ontario; Canada,-79.73251248712117,43.48732805
Oakville Town Hall,Oakville Town Hall; Oakville; Ontario; Canada,-79.68764906171216,43.467343650000004
Sheridan College,Sheridan College; Oakville; Ontario; Canada,-79.69921291680899,43.4695852
