district,Location,GPO,LIB,NDP,Other parties,PCP,Total,Others,difference,winner,Diff %,Diff % others,full_Location,lon,lat
074 Oakville,1320 Cornwall Road,153,1631,208,127,1584,3703,488,47,LIB,0.012692411558196058,0.09631147540983606,1320 Cornwall Road; Oakville; Ontario; Canada,-79.66387767982414,43.47356634415392
074 Oakville,ABBEY LANE ELEMENTARY SCHOOL,53,294,57,40,384,828,150,-90,PCP,0.10869565217391304,0.6,ABBEY LANE ELEMENTARY SCHOOL; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,AMICA BRONTE HARBOUR,9,33,2,6,39,89,17,-6,PCP,0.06741573033707865,0.35294117647058826,AMICA BRONTE HARBOUR; Oakville; Ontario; Canada,-79.703214,43.395417
074 Oakville,BIRCH GLEN CO-OP,10,17,15,7,14,63,32,3,LIB,0.047619047619047616,0.09375,BIRCH GLEN CO-OP; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,BRONTE HARBOUR CLUB,21,55,13,10,75,174,44,-20,PCP,0.11494252873563218,0.45454545454545453,BRONTE HARBOUR CLUB; Oakville; Ontario; Canada,-79.71416021502537,43.39340145
074 Oakville,BROOKDALE PUBLIC SCHOOL,36,219,47,29,236,567,112,-17,PCP,0.029982363315696647,0.15178571428571427,BROOKDALE PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.70366861460869,43.42462205
074 Oakville,CENTRAL WEST SPECIALIZED DEV. SERVICES,64,320,85,48,362,879,197,-42,PCP,0.04778156996587031,0.2131979695431472,CENTRAL WEST SPECIALIZED DEV. SERVICES; Oakville; Ontario; Canada,-79.67795,43.442657
074 Oakville,DELMANOR GLEN ABBEY,6,25,6,5,18,60,17,7,LIB,0.11666666666666667,0.4117647058823529,DELMANOR GLEN ABBEY; Oakville; Ontario; Canada,-79.729894,43.43456
074 Oakville,EASTVIEW PUBLIC SCHOOL,40,290,30,29,278,667,99,12,LIB,0.017991004497751123,0.12121212121212122,EASTVIEW PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.70952465379693,43.401299550000005
074 Oakville,EMPORIUM AT JOSHUA CREEK - 2470,1,9,3,1,23,37,5,-14,PCP,0.3783783783783784,2.8,EMPORIUM AT JOSHUA CREEK - 2470; Oakville; Ontario; Canada,-79.666672,43.447436
074 Oakville,EMPORIUM AT JOSHUA CREEK - 2480,9,49,20,10,96,184,39,-47,PCP,0.2554347826086957,1.205128205128205,EMPORIUM AT JOSHUA CREEK - 2480; Oakville; Ontario; Canada,-79.666672,43.447436
