Location,full_Location,lon,lat
ST. BERNADETTE C.E.S.,ST. BERNADETTE C.E.S.; Oakville; Ontario; Canada,-79.737916,43.429593
HERITAGE GLEN PUBLIC SCHOOL,HERITAGE GLEN PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.74220870556996,43.431563499999996
GLEN ABBEY COMMUNITY CENTRE,GLEN ABBEY COMMUNITY CENTRE; Oakville; Ontario; Canada,-79.666672,43.447436
PILGRIM WOOD PUBLIC SCHOOL,PILGRIM WOOD PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.72847925335698,43.434772800000005
GLEN ABBEY UNITED CHURCH,GLEN ABBEY UNITED CHURCH; Oakville; Ontario; Canada,-79.666672,43.447436
ST. MATTHEW C.E.S.,ST. MATTHEW C.E.S.; Oakville; Ontario; Canada,-79.716585,43.440019
ABBEY LANE ELEMENTARY SCHOOL,ABBEY LANE ELEMENTARY SCHOOL; Oakville; Ontario; Canada,-79.666672,43.447436
SUNNINGDALE PUBLIC SCHOOL,SUNNINGDALE PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.71220403770484,43.45867605
MUNN'S PUBLIC SCHOOL,MUNN'S PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.7091849054978,43.46604715
WHITE OAKS SECONDARY SCHOOL,WHITE OAKS SECONDARY SCHOOL; Oakville; Ontario; Canada,-79.70220537159366,43.461924100000005
OAKVILLE TOWN HALL,OAKVILLE TOWN HALL; Oakville; Ontario; Canada,-79.68764906171216,43.467343650000004
SHERIDAN PUBLIC SCHOOL,SHERIDAN PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.68993425311018,43.48170055
FALGARWOOD PUBLIC SCHOOL,FALGARWOOD PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.6835436347589,43.47932335
HOLY FAMILY C.E.S.,HOLY FAMILY C.E.S.; Oakville; Ontario; Canada,-79.687715,43.481911
IROQUOIS RIDGE HIGH SCHOOL,IROQUOIS RIDGE HIGH SCHOOL; Oakville; Ontario; Canada,-79.69884236736546,43.489370300000004
IROQUOIS RIDGE COMMUNITY CENTRE,IROQUOIS RIDGE COMMUNITY CENTRE; Oakville; Ontario; Canada,-79.70120718704354,43.48810695
JOSHUA CREEK PUBLIC SCHOOL,JOSHUA CREEK PUBLIC SCHOOL; Oakville; Ontario; Canada,-79.69758034210341,43.49926335
ST. MARGUERITE D'YOUVILLE SCHOOL,ST. MARGUERITE D'YOUVILLE SCHOOL; Oakville; Ontario; Canada,-79.678184,43.434807
JAMES W. HILL P.S.,JAMES W. HILL P.S.; Oakville; Ontario; Canada,-79.666672,43.447436
JOSHUA'S CREEK ARENA,JOSHUA'S CREEK ARENA; Oakville; Ontario; Canada,-79.681013,43.495225
ST. DOMINIC CATHOLIC ELEMENTARY SCHOOL,ST. DOMINIC CATHOLIC ELEMENTARY SCHOOL; Oakville; Ontario; Canada,-79.71949684972499,43.400545300000005
ST. DOMINIC PARISH,ST. DOMINIC PARISH; Oakville; Ontario; Canada,-79.718803,43.399677
WALTON MEMORIAL UNITED CHURCH,WALTON MEMORIAL UNITED CHURCH; Oakville; Ontario; Canada,-79.71326662050407,43.39344765
