Titre,Note,URL,Commentaire,lat,lon
2772 Mahogany Ln,,https://www.google.com/maps/place/2772+Mahogany+Ln/data=!4m2!3m1!1s0x882b4360c9e3ce43:0x3d9ee82d193fa324,,43.4949399,-79.6554722
372 Maplehurst Ave,,https://www.google.com/maps/place/372+Maplehurst+Ave/data=!4m2!3m1!1s0x882b5c4b51e78233:0x13fe1afa0818e8ef,,43.4252543,-79.6946786
468 Lakeshore Rd E,,https://www.google.com/maps/place/468+Lakeshore+Rd+E/data=!4m2!3m1!1s0x882b5c9756347acd:0x7209647c4bf61461,,43.4518401,-79.6614173
1559 Venetia Dr,,https://www.google.com/maps/place/1559+Venetia+Dr/data=!4m2!3m1!1s0x882b5dd48f6d8cef:0x79bba76c4f4c4c11,,43.4063336,-79.697462
1346 Sedgewick Crescent,,https://www.google.com/maps/place/1346+Sedgewick+Crescent/data=!4m2!3m1!1s0x882b5dcdb1a8498f:0x2977d32581fa8b53,,43.4138624,-79.6987947
154 Westminster Dr,,https://www.google.com/maps/place/154+Westminster+Dr/data=!4m2!3m1!1s0x882b5dd2580e55d1:0x7352321a851966e3,,43.4100758,-79.6979523
113 Spring Azure Crescent,,https://www.google.com/maps/place/113+Spring+Azure+Crescent/data=!4m2!3m1!1s0x882b5e3890da7ea7:0x98734c53a1b6950c,,43.3787051,-79.7183844
1366 Sedgewick Crescent,,https://www.google.com/maps/place/1366+Sedgewick+Crescent/data=!4m2!3m1!1s0x882b5dcdd080f2b7:0x16238bb4e9728f17,,43.4138071,-79.7002171
620 Weynway Ct,,https://www.google.com/maps/place/620+Weynway+Ct/data=!4m2!3m1!1s0x882b5dc157df190f:0xa7284ca67a5c1b5c,,43.4179023,-79.7125841
2033 Waters Edge Dr,,https://www.google.com/maps/place/2033+Waters+Edge+Dr/data=!4m2!3m1!1s0x882b5e7f871262ab:0xc656db2f9be1911b,,43.4021186,-79.6974307
1460 Hixon St,,https://www.google.com/maps/place/1460+Hixon+St/data=!4m2!3m1!1s0x882b5dd186e51ad1:0xc27734f6cb1a235c,,43.4100768,-79.7009315
1436 Willowdown Rd,,https://www.google.com/maps/place/1436+Willowdown+Rd/data=!4m2!3m1!1s0x882b5dce2028d15d:0xf46cf945b0d113f2,,43.4122937,-79.7021442
2643 Fonthill Dr,,https://www.google.com/maps/place/2643+Fonthill+Dr/data=!4m2!3m1!1s0x882b4364164d1089:0xadb2c62a5898bce,,43.4994162,-79.6571367
